    ,corruption,fold,wasserstein_distance
    376,zoom_blur_2,3,74702.71925859175
    377,zoom_blur_3,3,74702.72685046066
    378,zoom_blur_4,3,74702.73506399631
    379,zoom_blur_5,3,74702.74489823256
    380,brightness_1,4,432.9940042933192
    381,brightness_2,4,432.9872722902825
    382,brightness_3,4,432.9752019127344
    383,brightness_4,4,432.9597411480033
    384,brightness_5,4,432.923751895576
    385,contrast_1,4,433.08466407746675
    386,contrast_2,4,433.1583741184898
    387,contrast_3,4,433.18365229437813
    388,contrast_4,4,433.20616058343154
    389,contrast_5,4,433.2325104918441
    390,defocus_blur_1,4,433.00392279147553
    391,defocus_blur_2,4,433.0196794873043
    392,defocus_blur_3,4,433.03268112718314
    393,defocus_blur_4,4,433.04136296790836
    394,defocus_blur_5,4,433.06219327764535
    395,elastic_1,4,433.01670399838014
    396,elastic_2,4,433.02142787754553
    397,elastic_3,4,433.03130833818466
    398,elastic_4,4,433.03407733158696
    399,elastic_5,4,433.03340174911466
    400,fog_1,4,433.07596999730066
    401,fog_2,4,433.13806108697383
    402,fog_3,4,433.16612840668495
    403,fog_4,4,433.1799212156836
    404,fog_5,4,433.1928710476107
    405,frost_1,4,433.00161915711044
    406,frost_2,4,432.98287373178323
    407,frost_3,4,432.9983206746497
    408,frost_4,4,433.02125412136286
    409,frost_5,4,433.0527743254685
    410,frosted_glass_blur_1,4,433.0067724542923
    411,frosted_glass_blur_2,4,433.0090633892028
    412,frosted_glass_blur_3,4,433.0232610055122
    413,frosted_glass_blur_4,4,433.01298828395534
    414,frosted_glass_blur_5,4,433.0273457234701
    415,gaussian_blur_1,4,433.0036185782002
    416,gaussian_blur_2,4,433.0328382979974
    417,gaussian_blur_3,4,433.04429825822365
    418,gaussian_blur_4,4,433.05466817955477
    419,gaussian_blur_5,4,433.0736499158389
    420,gaussian_noise_1,4,432.990791130114
    421,gaussian_noise_2,4,432.9874550000653
    422,gaussian_noise_3,4,432.9832162958669
    423,gaussian_noise_4,4,432.98095913504824
    424,gaussian_noise_5,4,432.97831382025186
    425,impulse_noise_1,4,432.98966277078136
    426,impulse_noise_2,4,432.9856183743544
    427,impulse_noise_3,4,432.98203487198936
    428,impulse_noise_4,4,432.9756389248112
    429,impulse_noise_5,4,432.9700754934467
    430,jpeg_compression_1,4,432.9946699841758
    431,jpeg_compression_2,4,432.9959417807367
    432,jpeg_compression_3,4,432.996306271029
    433,jpeg_compression_4,4,432.9967271511843
    434,jpeg_compression_5,4,432.99736355949364
    435,motion_blur_1,4,433.0220483866696
    436,motion_blur_2,4,433.0382481640892
    437,motion_blur_3,4,433.05212500572327
    438,motion_blur_4,4,433.05193747721955
    439,motion_blur_5,4,433.063781898136
    440,pixelate_1,4,432.9997157486839
    441,pixelate_2,4,433.0050982444377
    442,pixelate_3,4,433.0081947686496
    443,pixelate_4,4,433.0185028908552
