,Fold,Corruption,Severity,LogLikelihood
288,4,contrast,1,-4614.47216796875
289,4,contrast,2,-5438.2080078125
290,4,contrast,3,-5849.798828125
291,4,contrast,4,-6272.45849609375
292,4,contrast,5,-6803.83837890625
293,4,defocus_blur,1,-4108.06640625
294,4,defocus_blur,2,-4135.875
295,4,defocus_blur,3,-4159.29931640625
296,4,defocus_blur,4,-4174.4072265625
297,4,defocus_blur,5,-4214.23291015625
298,4,elastic,1,-4149.1943359375
299,4,elastic,2,-4148.91015625
300,4,elastic,3,-4168.06787109375
301,4,elastic,4,-4168.091796875
302,4,elastic,5,-4172.49267578125
303,4,fog,1,-4134.4345703125
304,4,fog,2,-4276.90087890625
305,4,fog,3,-4355.67138671875
306,4,fog,4,-4434.80859375
307,4,fog,5,-4395.05810546875
308,4,frost,1,-4185.1513671875
309,4,frost,2,-4302.326171875
310,4,frost,3,-4449.24365234375
311,4,frost,4,-4453.140625
312,4,frost,5,-4568.62744140625
313,4,frosted_glass_blur,1,-4135.56298828125
314,4,frosted_glass_blur,2,-4136.13134765625
315,4,frosted_glass_blur,3,-4161.54736328125
316,4,frosted_glass_blur,4,-4169.45654296875
317,4,frosted_glass_blur,5,-4195.45458984375
318,4,gaussian_blur,1,-4107.64404296875
319,4,gaussian_blur,2,-4160.71923828125
320,4,gaussian_blur,3,-4183.181640625
321,4,gaussian_blur,4,-4204.89794921875
322,4,gaussian_blur,5,-4249.3623046875
323,4,gaussian_noise,1,-4096.2880859375
324,4,gaussian_noise,2,-4101.90576171875
325,4,gaussian_noise,3,-4111.9443359375
326,4,gaussian_noise,4,-4110.58544921875
327,4,gaussian_noise,5,-4116.21044921875
328,4,impulse_noise,1,-4101.00048828125
329,4,impulse_noise,2,-4110.8330078125
330,4,impulse_noise,3,-4112.3271484375
331,4,impulse_noise,4,-4127.49560546875
332,4,impulse_noise,5,-4143.357421875
333,4,jpeg_compression,1,-4089.0439453125
334,4,jpeg_compression,2,-4092.472900390625
335,4,jpeg_compression,3,-4093.12158203125
336,4,jpeg_compression,4,-4093.74560546875
337,4,jpeg_compression,5,-4093.93359375
338,4,motion_blur,1,-4138.66943359375
339,4,motion_blur,2,-4172.5126953125
340,4,motion_blur,3,-4211.8837890625
341,4,motion_blur,4,-4208.10986328125
342,4,motion_blur,5,-4248.2099609375
343,4,pixelate,1,-4098.56982421875
344,4,pixelate,2,-4105.61279296875
345,4,pixelate,3,-4106.8603515625
346,4,pixelate,4,-4131.33349609375
347,4,pixelate,5,-4145.70654296875
348,4,saturate,1,-4211.23193359375
349,4,saturate,2,-4235.60791015625
350,4,saturate,3,-4006.202880859375
351,4,saturate,4,-3854.964111328125
352,4,saturate,5,-3720.599609375
353,4,shot_noise,1,-4095.65283203125
354,4,shot_noise,2,-4101.06298828125
355,4,shot_noise,3,-4112.23046875
356,4,shot_noise,4,-4115.77880859375
357,4,shot_noise,5,-4121.7822265625
358,4,snow,1,-4098.01220703125
359,4,snow,2,-4117.77978515625
360,4,snow,3,-4090.68408203125
361,4,snow,4,-4113.06640625
362,4,snow,5,-4195.9375
363,4,spatter,1,-4085.046875
364,4,spatter,2,-4072.924072265625
365,4,spatter,3,-4044.944091796875
366,4,spatter,4,-4017.293701171875
367,4,spatter,5,-3982.79931640625
368,4,speckle_noise,1,-4095.93603515625
369,4,speckle_noise,2,-4103.39111328125
370,4,speckle_noise,3,-4109.396484375
371,4,speckle_noise,4,-4116.02978515625
372,4,speckle_noise,5,-4133.19921875
373,4,zoom_blur,1,-4152.0830078125
374,4,zoom_blur,2,-4146.673828125
375,4,zoom_blur,3,-4153.7587890625
376,4,zoom_blur,4,-4154.19140625
377,4,zoom_blur,5,-4166.392578125
