,Fold,Corruption,Severity,LogLikelihood
607,7,gaussian_blur,3,-108384.69
608,7,gaussian_blur,4,-108925.336
609,7,gaussian_blur,5,-109714.445
610,7,gaussian_noise,1,-102754.77
611,7,gaussian_noise,2,-100739.734
612,7,gaussian_noise,3,-98352.37
613,7,gaussian_noise,4,-96796.35
614,7,gaussian_noise,5,-95224.055
615,7,impulse_noise,1,-101280.336
616,7,impulse_noise,2,-98393.3
617,7,impulse_noise,3,-95611.914
618,7,impulse_noise,4,-90101.055
619,7,impulse_noise,5,-85490.52
620,7,jpeg_compression,1,-104477.5
621,7,jpeg_compression,2,-104505.04
622,7,jpeg_compression,3,-104535.45
623,7,jpeg_compression,4,-104704.375
624,7,jpeg_compression,5,-104870.086
625,7,motion_blur,1,-106884.04
626,7,motion_blur,2,-107835.664
627,7,motion_blur,3,-108361.73
628,7,motion_blur,4,-108110.74
629,7,motion_blur,5,-107873.54
630,7,pixelate,1,-104339.95
631,7,pixelate,2,-105071.914
632,7,pixelate,3,-104611.51
633,7,pixelate,4,-106921.96
634,7,pixelate,5,-106785.516
635,7,saturate,1,-95731.664
636,7,saturate,2,-91785.445
637,7,saturate,3,-107103.414
638,7,saturate,4,-109351.27
639,7,saturate,5,-110242.766
640,7,shot_noise,1,-103327.72
641,7,shot_noise,2,-102154.266
642,7,shot_noise,3,-99386.56
643,7,shot_noise,4,-97882.445
644,7,shot_noise,5,-95062.61
645,7,snow,1,-101732.4
646,7,snow,2,-98158.47
647,7,snow,3,-100734.54
648,7,snow,4,-92317.836
649,7,snow,5,-93212.484
650,7,spatter,1,-105342.375
651,7,spatter,2,-104407.14
652,7,spatter,3,-102033.836
653,7,spatter,4,-94356.35
654,7,spatter,5,-90710.21
655,7,speckle_noise,1,-103079.96
656,7,speckle_noise,2,-101079.234
657,7,speckle_noise,3,-99694.3
658,7,speckle_noise,4,-96667.58
659,7,speckle_noise,5,-93232.83
660,7,zoom_blur,1,-109507.67
661,7,zoom_blur,2,-109913.28
662,7,zoom_blur,3,-110402.41
663,7,zoom_blur,4,-110408.78
664,7,zoom_blur,5,-110265.12
665,8,brightness,1,-79125.33
666,8,brightness,2,-78168.67
667,8,brightness,3,-76981.84
668,8,brightness,4,-75548.35
669,8,brightness,5,-72054.45
670,8,contrast,1,-71956.38
671,8,contrast,2,-57765.816
672,8,contrast,3,-49387.59
673,8,contrast,4,-39394.594
674,8,contrast,5,-23199.459
675,8,defocus_blur,1,-80303.45
676,8,defocus_blur,2,-81170.78
677,8,defocus_blur,3,-81830.14
678,8,defocus_blur,4,-82273.01
679,8,defocus_blur,5,-83113.26
680,8,elastic,1,-78206.14
681,8,elastic,2,-78993.914
682,8,elastic,3,-80208.78
683,8,elastic,4,-80708.234
684,8,elastic,5,-80820.57
685,8,fog,1,-79736.625
686,8,fog,2,-79036.93
687,8,fog,3,-80352.016
688,8,fog,4,-77642.67
689,8,fog,5,-77321.65
690,8,frost,1,-76409.25
691,8,frost,2,-73395.85
692,8,frost,3,-72843.734
693,8,frost,4,-74192.91
694,8,frost,5,-74799.04
695,8,frosted_glass_blur,1,-80238.85
696,8,frosted_glass_blur,2,-80590.64
697,8,frosted_glass_blur,3,-82146.66
698,8,frosted_glass_blur,4,-81153.44
699,8,frosted_glass_blur,5,-82351.84
700,8,gaussian_blur,1,-80308.85
701,8,gaussian_blur,2,-81914.02
702,8,gaussian_blur,3,-82465.84
703,8,gaussian_blur,4,-82933.9
704,8,gaussian_blur,5,-83722.61
705,8,gaussian_noise,1,-78529.03
706,8,gaussian_noise,2,-77318.24
707,8,gaussian_noise,3,-75785.15
708,8,gaussian_noise,4,-74748.74
709,8,gaussian_noise,5,-73734.26
710,8,impulse_noise,1,-77677.77
